customer_id,transaction_date,transaction_amount,product_category
1001,2023-01-15,125.99,Electronics
1002,2023-02-03,78.50,Apparel
1001,2023-03-22,45.75,Home & Garden
1003,2023-01-30,210.25,Electronics
1004,2023-02-17,65.99,Beauty
1002,2023-04-05,112.30,Electronics
1005,2023-01-10,189.75,Furniture
1003,2023-03-15,55.25,Apparel
1006,2023-02-22,78.99,Beauty
1004,2023-04-18,145.50,Home & Garden
1007,2023-01-05,67.25,Apparel
1005,2023-03-28,210.99,Electronics
1008,2023-02-11,45.75,Beauty
1006,2023-04-02,189.25,Furniture
1009,2023-01-20,55.50,Home & Garden
1007,2023-03-10,125.75,Electronics
1010,2023-02-28,78.50,Apparel
1008,2023-04-15,67.99,Beauty
1011,2023-01-25,210.50,Furniture
1009,2023-03-05,45.25,Home & Garden
1012,2023-02-08,189.99,Electronics
1010,2023-04-20,55.50,Apparel
1013,2023-01-12,78.25,Beauty
1011,2023-03-18,67.75,Home & Garden
1014,2023-02-25,125.50,Furniture
1012,2023-04-08,210.25,Electronics
1015,2023-01-28,45.99,Apparel
1013,2023-03-01,189.50,Beauty
1016,2023-02-14,55.75,Home & Garden
1014,2023-04-22,78.25,Furniture
1017,2023-01-08,67.50,Electronics
1015,2023-03-25,125.99,Apparel
1018,2023-02-20,210.75,Beauty
1016,2023-04-12,45.50,Home & Garden
1019,2023-01-18,189.25,Furniture
1017,2023-03-08,55.99,Electronics
1020,2023-02-06,78.75,Apparel
1018,2023-04-25,67.25,Beauty
1021,2023-01-22,125.50,Home & Garden
1019,2023-03-12,210.99,Furniture
1022,2023-02-01,45.75,Electronics
1020,2023-04-10,189.50,Apparel
1023,2023-01-16,55.25,Beauty
1021,2023-03-29,78.99,Home & Garden
1024,2023-02-23,67.50,Furniture
1022,2023-04-05,125.25,Electronics
1025,2023-01-31,210.75,Apparel
1023,2023-03-19,45.99,Beauty
1024,2023-04-28,189.25,Home & Garden
1025,2023-02-09,55.50,Furniture
1001,2023-04-01,98.75,Electronics
1002,2023-03-14,145.50,Home & Garden
1003,2023-04-24,76.25,Beauty
1004,2023-03-07,195.99,Furniture
1005,2023-04-17,88.25,Apparel
1006,2023-03-02,112.50,Electronics
1007,2023-04-27,67.75,Home & Garden
1008,2023-03-21,154.99,Beauty
1009,2023-04-11,92.25,Furniture
1010,2023-03-16,175.50,Apparel
1011,2023-04-03,79.99,Electronics
1012,2023-03-23,135.25,Home & Garden
1013,2023-04-14,155.75,Beauty
1014,2023-03-09,89.99,Furniture
1015,2023-04-19,128.25,Apparel